condition,model,label,chrom,seg_start,seg_end,bead_start,bead_end,radial_dist
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,50350000,51300000,2.8961554958988307
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,51300000,52350000,2.964101351678954
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,52350000,53000000,2.721320329142455
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,53000000,54150000,2.4131260823462997
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,54150000,54900000,2.402310754474533
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,54900000,55350000,2.408716669976982
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,55350000,55850000,2.320536778486607
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,55850000,56500000,2.636102091890411
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,56500000,57100000,2.580778549495481
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,57100000,57800000,2.223902390458943
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,57800000,58200000,1.9313418980895125
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,58200000,58500000,1.782406562566745
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,58500000,59100000,1.4773578052892264
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,59100000,59600000,1.1217057620289734
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,59600000,60050000,0.7873059811750449
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,60050000,60700000,0.8109435021374793
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,60700000,61400000,0.8225806888652323
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,61400000,62400000,0.667045679836846
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,62400000,63400000,0.7567693101302404
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,63400000,63850000,0.8788711910806042
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,63850000,64500000,0.9829479204610181
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,64500000,64800000,1.2132742163872106
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,64800000,65200000,1.6007649507957125
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,65200000,66200000,1.9392533403928949
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,66200000,66700000,1.867249020188791
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,66700000,67100000,2.235107731087898
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,67100000,69550000,2.307632344570729
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,69550000,70150000,2.6382309504882246
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,70150000,70650000,2.607453983713807
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,70650000,71100000,2.489386742628692
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,71100000,71500000,2.3037733980386528
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,71500000,72100000,2.5222677798848
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,72100000,72550000,2.7217557107759047
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,72550000,73400000,3.073699884843997
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,73400000,74200000,3.148947688241899
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,74200000,74900000,3.2263311062623443
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,74900000,75250000,2.9295225956665703
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,75250000,75600000,2.8001473199189
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,75600000,75900000,2.4709758018086703
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,75900000,76400000,2.205065214525185
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,76400000,76750000,2.2829030694930963
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,76750000,77500000,2.2159546572599362
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,77500000,78100000,1.8201051542746096
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,78100000,79000000,1.8835970879338817
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,79000000,79700000,1.6652260346910868
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,79700000,80400000,1.7523441027826583
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,80400000,80950000,1.8856670546416725
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,80950000,82250000,1.9186807104395978
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,82250000,83257441,2.0625847578690286
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,0,900000,4.009678486156215
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,900000,1300000,4.15412995063479
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,1300000,2150000,4.250067050291795
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,2150000,3200000,4.570628875983697
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,3200000,4300000,4.55838509902235
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,4300000,4650000,4.813661419200565
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,4650000,5250000,4.774685657509298
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,5250000,6200000,5.098592016765511
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,6200000,6800000,5.291457971145665
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,6800000,7150000,5.111293466853669
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,7150000,8400000,4.991846339089475
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,8400000,9350000,4.91689093877025
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,9350000,9700000,5.063385332382278
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,9700000,10300000,5.208548098376361
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,10300000,10750000,5.375476193187446
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,10750000,11050000,5.065515022324976
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,11050000,11350000,5.303932986360216
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,11350000,11900000,5.017548060527173
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,11900000,12500000,4.961607105384303
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,12500000,13000000,4.627124407458697
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,13000000,13650000,4.462856384962438
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,13650000,14200000,4.612296876329624
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,14200000,14500000,4.463567391067373
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,14500000,15100000,4.506915432865365
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,15100000,15600000,4.835940067298187
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,15600000,16250000,5.221627419435439
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,16250000,17250000,5.368811692777089
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,17250000,17850000,5.348565091396009
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,17850000,18400000,5.123570881533698
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,18400000,19050000,5.030962267886731
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,19050000,19850000,5.40257227984041
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,19850000,20350000,5.593618657032315
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,20350000,20950000,5.620466315511552
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,20950000,21500000,5.884580232888323
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,21500000,22100000,5.937943000635826
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,22100000,22950000,5.825182121728041
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,22950000,23900000,5.8220177395641795
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,23900000,24700000,6.107282004533604
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,24700000,25600000,6.475656237332244
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,25600000,25950000,6.722746477958245
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,25950000,26750000,6.532149078848399
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,26750000,27300000,6.3588362392815245
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,27300000,27700000,6.05422557433236
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,27700000,28350000,5.952014522781341
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,28350000,28800000,5.7897046342192615
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,28800000,29300000,5.509422177878547
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,29300000,30000000,5.400883094985486
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,30000000,30750000,5.437243504331951
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,30750000,31550000,5.443748423751781
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,31550000,32150000,5.132132009633034
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,32150000,32800000,5.235369828101927
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,32800000,33400000,5.426710879694992
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,33400000,33850000,5.640897752317445
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,33850000,34700000,5.969715263779337
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,34700000,35400000,6.189936110914232
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,35400000,36000000,6.084477669488154
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,36000000,36700000,5.903894956128539
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,36700000,37000000,5.85338197565305
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,37000000,38000000,6.166219009449794
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,38000000,38500000,6.4811351273523075
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,38500000,39050000,6.317158247202614
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,39050000,39400000,6.460351403669927
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,39400000,40200000,6.665848559770916
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,40200000,40600000,6.822017678209285
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,40600000,41250000,6.919542612290209
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,41250000,41850000,7.142099724443786
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,41850000,42200000,7.088652503438154
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,42200000,42900000,7.134851670903887
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,42900000,43500000,6.75439899720175
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,43500000,44250000,6.657690354957941
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,44250000,45700000,6.945628307547129
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,45700000,46450000,6.7241310999563355
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,46450000,46950000,6.942164194665811
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,46950000,47400000,6.896749156559197
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,47400000,47800000,6.565213911899596
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,47800000,48200000,6.634741423816003
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,48200000,48700000,6.28935238189911
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,48700000,49000000,6.25750940519469
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,49000000,49500000,6.418307774842213
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,49500000,50350000,6.270009432042348
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,50350000,50650000,6.0950744294553125
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,50650000,51400000,6.076920793716173
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,51400000,51900000,5.875367882294691
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,51900000,52450000,6.113539262996517
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,52450000,53350000,6.234624902758785
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,53350000,53900000,6.089263626038866
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,53900000,54400000,5.945090966597651
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,54400000,54850000,6.111422134912298
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,54850000,55450000,6.031599169603033
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,55450000,56550000,5.659488338893278
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,56550000,57100000,5.498883135481604
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,57100000,57550000,5.376971043493632
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,57550000,58150000,5.022956508601284
WT,model_0000,chr3 frag in Der(17),chr3,0,58600000,58150000,58650000,5.289692608706105
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,58150000,58650000,5.289692608706105
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,58650000,59200000,5.484733415855323
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,59200000,59900000,5.160650697208638
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,59900000,60750000,5.304455927943978
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,60750000,61400000,5.177774947465369
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,61400000,62200000,5.123525354968002
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,62200000,62600000,5.172216355209825
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,62600000,63300000,5.500073375110554
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,63300000,63850000,5.714687119318082
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,63850000,64500000,5.686426350090186
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,64500000,65300000,5.7966535398797125
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,65300000,65750000,5.565014361544811
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,65750000,66900000,5.6681392920604905
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,66900000,67350000,5.5661963737726685
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,67350000,67800000,5.748599980734439
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,67800000,68450000,5.739830309059667
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,68450000,68950000,6.035084979724809
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,68950000,70000000,6.236809842138848
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,70000000,70500000,5.963444030566565
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,70500000,71000000,5.948197504681565
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,71000000,71700000,5.668627370730943
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,71700000,73100000,5.753317661063049
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,73100000,73500000,5.440751107236942
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,73500000,73850000,5.303689554998482
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,73850000,74300000,5.156006015318447
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,74300000,75200000,5.031415636418839
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,75200000,75700000,5.352102681432784
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,75700000,76150000,5.202141481438197
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,76150000,76650000,5.468717164151388
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,76650000,77300000,5.209068917973729
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,77300000,78200000,4.86432990300658
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,78200000,78650000,4.77588766695784
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,78650000,79050000,4.95147470003594
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,79050000,79500000,5.089923222603657
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,79500000,80700000,4.704403828148259
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,80700000,81350000,4.5755106979877125
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,81350000,82300000,4.353131842547386
WT,model_0000,Der(3)t(3;17),chr3,58600001,198295559,82300000,82750000,3.958968533730598
